"BrandID"|"BrandName"|"BrandOEMFlag"|"BrandOwnerID"|"BrandOwner"|"ParentID"|"ParentCompany"|"SubBrandID"|"SubBrand"|"Revision Date"
"BBBB"|"3M"|"False"|"BBBB"|"3M"|"BBBB"|"3M"|""|""|"Jul 12, 2007"
"BBBC"|"A&A"|"False"|"BDCZ"|"GT Styling"|"BFCQ"|"GT Styling"|""|""|"Jul 12, 2007"
"BBBD"|"AIM"|"False"|"BDDB"|"Automotive Importing Manufacturing Inc - AIM"|"BDDB"|"Automotive Importing Manufacturing Inc - AIM"|""|""|"Jul 12, 2007"
"BBBF"|"AL Doering"|"False"|"BDDC"|"AL Doering Spark Plug"|"BDDC"|"AL Doering Spark Plug"|""|""|"Jul 12, 2007"
"BBBG"|"ALO"|"False"|"BDDD"|"ALO Sales & Marketing"|"BDDD"|"ALO Sales & Marketing"|""|""|"Jul 12, 2007"
"BBBH"|"AMH"|"False"|"BDDF"|"AMH Ltd"|"BDDF"|"AMH Ltd"|""|""|"Jul 12, 2007"
"BBBJ"|"Aaron's"|"False"|"BDDH"|"Aaron's Automotive Products"|"BDDH"|"Aaron's Automotive Products"|""|""|"Jul 12, 2007"
"BBBL"|"ABS"|"False"|"BDDK"|"ABS Friction Inc"|"BDDK"|"ABS Friction Inc"|""|""|"Jul 12, 2007"
"BBBM"|"Absco"|"False"|"BDDL"|"Absco Ltee Ltd"|"BDDL"|"Absco Ltee Ltd"|""|""|"Jul 12, 2007"
"BBBN"|"Delco-Remy"|"False"|"FSBT"|"GM Customer Care and Aftersales"|"BDDM"|"GM Customer Care and Aftersales"|""|""|"Jan 31, 2020"
"BBBQ"|"Acar"|"False"|"BDDN"|"Acar Industries LLC"|"BDDN"|"Acar Industries LLC"|""|""|"Jul 12, 2007"
"BBBR"|"Acco"|"False"|"BDDQ"|"Acco Industries"|"BDDQ"|"Acco Industries"|""|""|"Jul 12, 2007"
"BBBS"|"Accu"|"False"|"BDDR"|"Accu Industries Inc"|"BDDR"|"Accu Industries Inc"|""|""|"Jul 12, 2007"
"BBBT"|"ACF"|"False"|"BDDT"|"ACF Heat Transfer Components"|"BDDT"|"ACF Heat Transfer Components"|""|""|"Jul 12, 2007"
